rank,word,count,occurrence_percentage,cumulative_percentage
149,"mismo",347834,0.08416749,57.04210343
150,"dijo",342900,0.08297359,57.12507702
151,"nadie",339772,0.08221668,57.20729370
152,"quiere",332148,0.08037186,57.28766556
153,"podría",329332,0.07969045,57.36735602
154,"hablar",327201,0.07917480,57.44653082
155,"vas",327127,0.07915690,57.52568772
156,"ellos",323892,0.07837410,57.60406182
157,"sr.",321637,0.07782845,57.68189027
158,"tal",317926,0.07693048,57.75882075
159,"pasa",315529,0.07635046,57.83517120
160,"fuera",311571,0.07539272,57.91056392
161,"después",311500,0.07537554,57.98593946
162,"han",308501,0.07464985,58.06058931
163,"desde",303620,0.07346877,58.13405808
164,"dinero",300518,0.07271816,58.20677623
165,"mundo",298208,0.07215919,58.27893543
166,"claro",296584,0.07176622,58.35070165
167,"momento",294559,0.07127622,58.42197787
168,"les",294439,0.07124718,58.49322505
169,"tener",292932,0.07088253,58.56410758
170,"estado",292015,0.07066063,58.63476821
171,"otro",290565,0.07030977,58.70507798
172,"había",289157,0.06996907,58.77504705
173,"mañana",283391,0.06857383,58.84362088
174,"tenía",282966,0.06847099,58.91209187
175,"madre",281646,0.06815158,58.98024346
176,"vale",280447,0.06786146,59.04810491
177,"lugar",280315,0.06782951,59.11593443
178,"haciendo",278317,0.06734605,59.18328048
179,"donde",277524,0.06715416,59.25043463
180,"seguro",277231,0.06708326,59.31751790
181,"sabe",273895,0.06627603,59.38379392
182,"podemos",272425,0.06592032,59.44971425
183,"tus",271677,0.06573933,59.51545357
184,"espera",270741,0.06551284,59.58096641
185,"nuevo",269895,0.06530812,59.64627453
186,"sido",269505,0.06521375,59.71148829
187,"cosa",269054,0.06510462,59.77659291
188,"hijo",267856,0.06481473,59.84140764
189,"allí",267215,0.06465963,59.90606727
190,"menos",263837,0.06384223,59.96990950
191,"tipo",262340,0.06348000,60.03338950
192,"amigo",258356,0.06251596,60.09590546
193,"gran",257648,0.06234464,60.15825011
194,"nuestro",254046,0.06147305,60.21972315
195,"mujer",249627,0.06040375,60.28012691
196,"mamá",247700,0.05993747,60.34006437
197,"luego",245811,0.05948037,60.39954474
198,"papá",243251,0.05886091,60.45840566
199,"días",243003,0.05880090,60.51720656
200,"dice",240795,0.05826662,60.57547318
201,"hoy",240395,0.05816983,60.63364302
202,"tres",239782,0.05802150,60.69166451
203,"buena",238330,0.05767015,60.74933467
204,"necesito",237654,0.05750657,60.80684124
205,"dije",235936,0.05709086,60.86393210
206,"oye",234324,0.05670079,60.92063289
207,"gusta",233367,0.05646922,60.97710212
208,"quería",230602,0.05580016,61.03290228
209,"será",230159,0.05569296,61.08859524
210,"haber",229602,0.05555818,61.14415342
211,"parte",229038,0.05542171,61.19957513
212,"todas",227146,0.05496389,61.25453902
213,"crees",225748,0.05462561,61.30916463
214,"buen",224802,0.05439670,61.36356133
215,"conmigo",224527,0.05433015,61.41789148
216,"nombre",222406,0.05381692,61.47170841
217,"mierda",221567,0.05361391,61.52532231
218,"nuestra",221503,0.05359842,61.57892073
219,"mal",220024,0.05324054,61.63216127
220,"debe",218223,0.05280474,61.68496601
221,"realmente",217847,0.05271376,61.73767976
222,"estas",216844,0.05247105,61.79015082
223,"aún",215129,0.05205606,61.84220688
224,"mío",212096,0.05132215,61.89352903
225,"toda",211746,0.05123746,61.94476649
226,"hacerlo",209901,0.05079101,61.99555750
227,"cada",209674,0.05073608,62.04629359
228,"visto",206949,0.05007670,62.09637029
229,"importa",203118,0.04914969,62.14551998
230,"contigo",202208,0.04892949,62.19444947
231,"tienen",200708,0.04856653,62.24301600
232,"hemos",200028,0.04840198,62.29141798
233,"razón",198832,0.04811258,62.33953056
234,"alguna",198263,0.04797490,62.38750546
235,"tanto",197519,0.04779487,62.43530032
236,"saber",196610,0.04757491,62.48287523
237,"hizo",196192,0.04747376,62.53034900
238,"veces",195756,0.04736826,62.57771726
239,"serio",194846,0.04714806,62.62486532
240,"ven",193452,0.04681075,62.67167607
241,"idea",193369,0.04679067,62.71846674
242,"eh",193299,0.04677373,62.76524047
243,"tarde",191883,0.04643109,62.81167156
244,"problema",189963,0.04596650,62.85763805
245,"hora",189851,0.04593939,62.90357744
246,"cierto",189653,0.04589148,62.94946893
247,"dicho",187895,0.04546609,62.99493502
